Fieldname	numMovies	Example Content
ChromaSubsampling	5371	4:2:0
BitDepth	5371	8
ScanType	5325	Progressive
Delay	5314	0.000
StreamSize	5303	4176072749
Title	1139	7 Mbps AVC MPEG-4
Encoded_Library	5062	x264 - core 96 r1613M 81e75e9
Encoded_Library_Name	5057	x264
Encoded_Library_Version	5048	core 96 r1613M 81e75e9
Encoded_Library_Settings	4599	cabac=1 / ref=4 / deblock=1:-1:-1 / analyse=0x3:0x113 / me=umh / subme=9 / psy=1 / fade_compensate=0.00 / psy_rd=1.30:0.00 / mixed_ref=1 / me_range=24 / chroma_me=1 / trellis=2 / 8x8dct=1 / cqm=0 / deadzone=21,11 / fast_pskip=1 / chroma_qp_offset=-2 / threads=6 / sliced_threads=0 / nr=0 / decimate=1 / interlaced=0 / constrained_intra=0 / bframes=5 / b_pyramid=2 / b_adapt=2 / b_bias=0 / direct=3 / weightb=1 / weightp=2 / keyint=250 / keyint_min=25 / scenecut=40 / intra_refresh=0 / rc_lookahead=80 / rc=2pass / mbtree=1 / bitrate=7230 / ratetol=1.0 / qcomp=0.80 / qpmin=10 / qpmax=51 / qpstep=4 / cplxblur=20.0 / qblur=0.5 / ip_ratio=1.40 / aq=1:0.70
Language	2271	de
Default	4830	No
Forced	4830	No
MuxingMode	132	Header stripping
FrameRate_Mode_Original	90	VFR
Stored_Height	2410	816
colour_description_present	470	Yes
colour_description_present_Source	470	Stream
colour_range	475	Limited
colour_range_Source	475	Stream
colour_primaries_Source	469	Stream
transfer_characteristics_Source	469	Stream
matrix_coefficients	469	BT.709
matrix_coefficients_Source	469	Stream
BitRate_Maximum	309	9146920
Rotation	57	0.000
Encoded_Date	36	UTC 2014-10-21 23:43:39
Tagged_Date	36	UTC 2014-10-21 23:43:48
colour_primaries	423	BT.709
extra	120	avcC
Format_Tier	44	Main
Stored_Width	85	1920
transfer_characteristics	420	BT.709
BitRate_Mode	369	VBR
BufferSize	378	11600000
FrameRate_Original	175	29.970
Format_Settings_BVOP	452	2
Format_Settings_QPel	449	No
Format_Settings_GMC	449	0
Format_Settings_Matrix	452	Default (H.263)
Compression_Mode	457	Lossy
Encoded_Library_Date	327	UTC 2008-12-04
BitRate_Nominal	100	6951200
Format_Settings_Matrix_Data	27	081010141014171717171B181B181B1E1D1C1C1D1E201F1E1D1E1F2022222323232322222626272727262628282A2A28282C2D2E2D2C323636323B3E3B484854 / 1113131515151717171719191919191B1B1B1B1B1B1D1C1D1E1D1C1D1F1D1E1F1F1E1D1F2120222622202125282E2E28252D363A362D3C48483C4A5A4A64647C
FrameRate_Minimum	12	1.501
FrameRate_Maximum	12	24.000
Format_Settings_GOP	54	M=1, N=3
ScanOrder	19	BFF
Standard	43	NTSC
Source_Duration	7	303.076
Source_StreamSize	7	1298742853
MenuID	34	1
OriginalSourceMedium_ID	8	4113
MultiView_Count	2	2
MultiView_Layout	2	Side by Side (left eye first)
DisplayAspectRatio_Original	30	2.348
PixelAspectRatio_Original	24	1.091
Format_Settings_PictureStructure	1	Frame
Height_Original	2	1088
Format_Version	5	2
Height_Offset	1	0
Delay_Original	1	0.000
TimeCode_FirstFrame	1	00:00:00;00
TimeCode_Source	1	Group of pictures header
Gop_OpenClosed	1	Open
Gop_OpenClosed_FirstFrame	1	Closed
ScanType_Original	1	Progressive
StreamOrder	9060	1
ID	9122	2
UniqueID	8467	2997387431
Format	9123	DTS
Format_Settings_Mode	6131	16
Format_Settings_Endianness	8597	Big
CodecID	9060	A_DTS
Duration	9064	4764.362
BitRate_Mode	8980	CBR
BitRate	8979	768000
Channels	9064	6
ChannelPositions	8128	Front: L C R, Side: L R, LFE
ChannelLayout	8128	C L R Ls Rs LFE
SamplesPerFrame	8987	512
SamplingRate	9064	48000
SamplingCount	9064	228689376
FrameRate	8987	93.750
BitDepth	5790	24
Compression_Mode	9114	Lossy
Delay	8957	0.000
Delay_Source	8957	Container
StreamSize	8979	457378752
StreamSize_Proportion	8979	0.07966
Title	3363	5.1 DTS @ 755 kbps
Language	8492	de
Default	8539	Yes
Forced	8467	Yes
Format_Settings_Floor	42	1
Encoded_Library	291	AO; aoTuV b5c [20081215] (based on Xiph.Org's libVorbis)
Encoded_Library_Name	47	aoTuV
Encoded_Library_Version	47	b5c
Encoded_Library_Date	47	UTC 2008-12-15
MuxingMode	148	Header stripping
Format_Commercial_IfAny	3167	Dolby Digital
FrameCount	3919	194213
ServiceKind	2823	CM
extra	2849	6-271.491.0271-27-272.790.535.467382.670.275.16746
Format_Settings_SBR	48	No (Explicit)
Format_AdditionalFeatures	496	LC
ChannelPositions_Original	615	Front: L C R, Side: L R, LFE
ChannelLayout_Original	615	C L R Ls Rs LFE
BitRate_Maximum	39	99648
Encoded_Date	45	UTC 2014-10-21 23:43:47
Tagged_Date	43	UTC 2014-10-21 23:43:48
AlternateGroup	72	1
Alignment	458	Split
Interleave_VideoFrames	458	1.00
Interleave_Duration	458	0.042
Interleave_Preload	442	0.500
Channels_Original	232	7
Format_Version	260	1
Format_Profile	261	Layer 3
Format_Settings_ModeExtension	217	MS Stereo
Encoded_Library_Settings	225	-m j -V 4 -q 2 -lowpass 17.6 --abr 128
BitRate_Nominal	62	140000
BitRate_Minimum	42	128000
Source_Duration	4	7087.958
Source_FrameCount	3	332248
Source_StreamSize	3	84945247
Source_StreamSize_Proportion	3	0.04569
MenuID	37	1
OriginalSourceMedium_ID	14	4352
Format_Settings_Sign	8	Signed
BitDepth_Detected	5	24
FirstPacketOrder	59	1
Duration_LastFrame	1	-0.011
Encoded_Application	2	VLC media player
